epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,678.695,0.66431,0.5026,1.0508,0.95509,0.94434,0.97609,0.79221,0.61765,0.4114,0.98433,0.000492625,0.000492625,0.000492625
43,702.416,0.67247,0.49202,1.05524,0.94907,0.97926,0.97781,0.79867,0.60807,0.3754,0.97941,0.00048025,0.00048025,0.00048025
44,725.316,0.67493,0.49543,1.04638,0.96701,0.96643,0.97841,0.79571,0.61709,0.40415,0.99185,0.000467875,0.000467875,0.000467875
45,748.413,0.66639,0.4731,1.05416,0.9557,0.97384,0.98116,0.80491,0.60132,0.36534,0.97396,0.0004555,0.0004555,0.0004555
46,769.644,0.65448,0.48666,1.03865,0.95335,0.9758,0.97743,0.80309,0.58841,0.3607,0.96851,0.000443125,0.000443125,0.000443125
47,785.031,0.63253,0.4502,1.03511,0.9717,0.96501,0.98091,0.80822,0.59413,0.3506,0.97212,0.00043075,0.00043075,0.00043075
48,799.671,0.65642,0.461,1.03633,0.96102,0.97449,0.97411,0.80824,0.59239,0.3539,0.97422,0.000418375,0.000418375,0.000418375
49,814.738,0.64505,0.45562,1.03273,0.96909,0.96888,0.97762,0.80552,0.58397,0.35593,0.96271,0.000406,0.000406,0.000406
50,829.39,0.64816,0.46253,1.02381,0.97813,0.96571,0.98203,0.82508,0.56496,0.33618,0.95489,0.000393625,0.000393625,0.000393625
51,844.246,0.6342,0.45274,1.02604,0.97636,0.96703,0.98294,0.81784,0.56413,0.34099,0.95986,0.00038125,0.00038125,0.00038125
52,859.207,0.62759,0.44481,1.03514,0.96773,0.97141,0.98114,0.81218,0.57852,0.3509,0.96217,0.000368875,0.000368875,0.000368875
53,873.826,0.61068,0.43253,1.01462,0.96931,0.95701,0.9808,0.81867,0.56295,0.33765,0.96028,0.0003565,0.0003565,0.0003565
54,888.725,0.64677,0.44299,1.02545,0.97234,0.97513,0.98522,0.81986,0.55135,0.33548,0.95337,0.000344125,0.000344125,0.000344125
55,903.416,0.60126,0.42721,1.01385,0.98246,0.95776,0.98463,0.82617,0.56471,0.32954,0.95639,0.00033175,0.00033175,0.00033175
56,918.133,0.6056,0.42004,1.01336,0.98354,0.96092,0.98478,0.83761,0.53939,0.32235,0.93583,0.000319375,0.000319375,0.000319375
57,932.705,0.60108,0.41271,1.01663,0.96747,0.97674,0.98547,0.83353,0.53791,0.31279,0.93548,0.000307,0.000307,0.000307
58,947.632,0.60143,0.41276,1.01811,0.98118,0.97057,0.98493,0.83791,0.52463,0.30712,0.92946,0.000294625,0.000294625,0.000294625
59,962.046,0.59724,0.41925,1.00346,0.97909,0.96892,0.98519,0.84349,0.51198,0.30629,0.92349,0.00028225,0.00028225,0.00028225
60,976.685,0.59588,0.41017,1.01777,0.97969,0.96361,0.98175,0.83358,0.52124,0.31172,0.92455,0.000269875,0.000269875,0.000269875
61,991.525,0.59793,0.39837,1.00683,0.98314,0.9653,0.98606,0.84633,0.5153,0.31396,0.92586,0.0002575,0.0002575,0.0002575
62,1006.17,0.58265,0.40086,0.99653,0.9712,0.97876,0.98207,0.84668,0.50926,0.30091,0.91817,0.000245125,0.000245125,0.000245125
63,1020.79,0.57406,0.39922,1.00821,0.98501,0.96994,0.98649,0.85091,0.50467,0.30019,0.91467,0.00023275,0.00023275,0.00023275
64,1035.5,0.57878,0.38589,1.00026,0.97998,0.98194,0.98323,0.85235,0.50107,0.29368,0.91742,0.000220375,0.000220375,0.000220375
65,1050.5,0.56983,0.38381,0.99953,0.98319,0.96778,0.98352,0.84765,0.50536,0.2963,0.91725,0.000208,0.000208,0.000208
66,1064.97,0.56454,0.37791,0.98866,0.97978,0.9733,0.98324,0.8531,0.49989,0.28821,0.91275,0.000195625,0.000195625,0.000195625
67,1079.89,0.55077,0.37524,0.99036,0.98779,0.96377,0.9837,0.85748,0.4852,0.28508,0.90767,0.00018325,0.00018325,0.00018325
68,1094.65,0.54778,0.37462,0.98263,0.98717,0.965,0.98356,0.85443,0.48403,0.28807,0.90605,0.000170875,0.000170875,0.000170875
69,1109.58,0.56272,0.37179,0.99406,0.98853,0.96645,0.98303,0.8605,0.48389,0.2827,0.90482,0.0001585,0.0001585,0.0001585
70,1124.55,0.54744,0.36323,0.98904,0.98324,0.96609,0.98324,0.86111,0.47834,0.28134,0.90621,0.000146125,0.000146125,0.000146125
71,1155.5,0.51084,0.326,0.96312,0.98243,0.96428,0.98259,0.8545,0.48452,0.28451,0.90606,0.00013375,0.00013375,0.00013375
72,1170.33,0.50816,0.31921,0.96059,0.97608,0.97085,0.98648,0.85938,0.47758,0.2838,0.90112,0.000121375,0.000121375,0.000121375
73,1184.93,0.49837,0.30031,0.95663,0.98622,0.96626,0.98287,0.86054,0.47079,0.27385,0.89726,0.000109,0.000109,0.000109
74,1198.81,0.49301,0.30602,0.96016,0.98852,0.9662,0.98679,0.8638,0.46505,0.27236,0.8961,9.6625e-05,9.6625e-05,9.6625e-05
75,1213.54,0.48631,0.2999,0.95735,0.97818,0.97397,0.98443,0.86506,0.46199,0.27507,0.8943,8.425e-05,8.425e-05,8.425e-05
76,1228.13,0.49423,0.29789,0.95551,0.98403,0.97031,0.98454,0.87049,0.45461,0.2661,0.88952,7.1875e-05,7.1875e-05,7.1875e-05
77,1242.74,0.47867,0.28944,0.9377,0.99146,0.96535,0.98777,0.87422,0.45006,0.26328,0.88908,5.95e-05,5.95e-05,5.95e-05
78,1257.63,0.47599,0.28619,0.9534,0.97895,0.9744,0.98417,0.87557,0.44529,0.25874,0.88555,4.7125e-05,4.7125e-05,4.7125e-05
79,1272.5,0.46468,0.28291,0.93377,0.99275,0.96206,0.98425,0.87538,0.44213,0.25663,0.88362,3.475e-05,3.475e-05,3.475e-05
80,1286.98,0.46589,0.27507,0.93272,0.98033,0.97377,0.98464,0.87617,0.43898,0.25549,0.88188,2.2375e-05,2.2375e-05,2.2375e-05
